,continents,country,population,new_cases,active_cases,critical_cases,recovered_cases,1M_pop_cases,total_cases,new_deaths,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests,day,time
69,North-America,Dominican-Republic,10841126.0,+289,7663,110,12208,1883,20415,+5,50,544,8718,94511.0,2020-06-09,2020-06-09T18:00:07+00:00
70,South-America,Uruguay,3472988.0,,84,4,738,243,845,,7,23,14079,48896.0,2020-06-09,2020-06-09T18:00:07+00:00
71,Europe,Hungary,9661722.0,+3,1143,20,2324,416,4017,+2,57,550,22198,214468.0,2020-06-09,2020-06-09T18:00:07+00:00
72,Asia,Jordan,10196822.0,+14,179,5,657,83,845,,0.9,9,23048,235014.0,2020-06-09,2020-06-09T18:00:07+00:00
73,Europe,Lithuania,2724198.0,+7,317,17,1338,634,1727,+1,26,72,124834,340073.0,2020-06-09,2020-06-09T18:00:07+00:00
74,Africa,Morocco,36882853.0,+135,734,15,7493,229,8437,+2,6,210,9100,335643.0,2020-06-09,2020-06-09T18:00:07+00:00
75,Asia,Vietnam,97282041.0,+3,16,1,316,3,332,,,0,2827,275000.0,2020-06-09,2020-06-09T18:00:07+00:00
76,Europe,Bosnia-and-Herzegovina,3281922.0,+24,519,4,2049,831,2728,,49,160,22095,72514.0,2020-06-09,2020-06-09T18:00:07+00:00
77,Europe,Faeroe-Islands,48851.0,,0,0,187,3828,187,,,0,210804,10298.0,2020-06-09,2020-06-09T18:00:07+00:00
78,Europe,Andorra,77257.0,,50,7,751,11028,852,,660,51,48539,3750.0,2020-06-09,2020-06-09T18:00:07+00:00
79,Europe,North-Macedonia,2083379.0,+87,1424,34,1658,1555,3239,+1,75,157,18246,38014.0,2020-06-09,2020-06-09T18:00:07+00:00
80,Asia,Cyprus,1206824.0,+2,147,4,807,805,972,,15,18,103836,125312.0,2020-06-09,2020-06-09T18:00:07+00:00
81,Asia,Brunei,437219.0,,1,1,138,322,141,,5,2,51837,22664.0,2020-06-09,2020-06-09T18:00:07+00:00
82,Europe,Moldova,4034488.0,+218,3863,305,5797,2485,10025,+12,90,365,15697,63328.0,2020-06-09,2020-06-09T18:00:07+00:00
83,Asia,Sri-Lanka,21407923.0,+1,790,1,1057,87,1858,,0.5,11,3595,76957.0,2020-06-09,2020-06-09T18:00:07+00:00
84,Europe,Albania,2877975.0,+36,305,6,960,451,1299,,12,34,5808,16716.0,2020-06-09,2020-06-09T18:00:07+00:00
85,Europe,Belarus,9449500.0,+812,25477,92,24506,5319,50265,+6,30,282,68169,644160.0,2020-06-09,2020-06-09T18:00:07+00:00
86,Europe,Malta,441474.0,+2,26,0,597,1432,632,,20,9,174490,77033.0,2020-06-09,2020-06-09T18:00:07+00:00
87,South-America,Venezuela,28440431.0,+96,1964,0,487,87,2473,,0.8,22,47233,1343336.0,2020-06-09,2020-06-09T18:00:07+00:00
88,Africa,Burkina-Faso,20862110.0,+1,73,0,765,43,891,,3,53,,,2020-06-09,2020-06-09T18:00:07+00:00
89,Africa,Tunisia,11810540.0,,56,1,982,92,1087,,4,49,4692,55419.0,2020-06-09,2020-06-09T18:00:07+00:00
90,North-America,Guadeloupe,400119.0,+2,6,1,144,410,164,,35,14,12434,4975.0,2020-06-09,2020-06-09T18:00:07+00:00
91,Africa,Senegal,16712504.0,+89,1655,14,2809,270,4516,+3,3,52,3245,54232.0,2020-06-09,2020-06-09T18:00:07+00:00
92,Asia,Kazakhstan,18762470.0,+215,4998,62,8015,697,13074,+5,3,61,53221,998556.0,2020-06-09,2020-06-09T18:00:07+00:00
93,Asia,Azerbaijan,10133526.0,+315,3487,66,4606,808,8191,+5,10,98,33887,343391.0,2020-06-09,2020-06-09T18:00:07+00:00
94,Asia,Cambodia,16704067.0,,2,1,124,8,126,,,0,1430,23879.0,2020-06-09,2020-06-09T18:00:07+00:00
95,Asia,Palestine,5093173.0,+1,67,0,404,93,474,,0.6,3,8811,44876.0,2020-06-09,2020-06-09T18:00:07+00:00
96,Oceania,New-Zealand,5002100.0,,0,0,1482,301,1504,,4,22,59155,295901.0,2020-06-09,2020-06-09T18:00:07+00:00
97,Asia,Oman,5097444.0,+712,13963,85,4152,3570,18198,+2,16,83,22377,114064.0,2020-06-09,2020-06-09T18:00:07+00:00
98,Asia,Georgia,3989597.0,+6,119,6,686,205,818,,3,13,16975,67725.0,2020-06-09,2020-06-09T18:00:07+00:00
99,North-America,Trinidad-and-Tobago,1399209.0,,0,0,109,84,117,,6,8,2445,3421.0,2020-06-09,2020-06-09T18:00:07+00:00
100,Europe,Ukraine,43747990.0,+394,14634,304,12412,637,27856,+13,19,810,9999,437444.0,2020-06-09,2020-06-09T18:00:07+00:00
101,Africa,R&eacute;union,894906.0,+1,33,4,447,537,481,,1,1,19220,17200.0,2020-06-09,2020-06-09T18:00:07+00:00
