,continents,country,population,new_cases,active_cases,critical_cases,recovered_cases,1M_pop_cases,total_cases,new_deaths,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests,day,time
197,Asia,Laos,7268725.0,,0,0,19,3,19,,,0,1228,8926.0,2020-06-09,2020-06-09T18:00:07+00:00
198,Africa,Libya,6865033.0,+76,270,0,57,48,332,,0.7,5,1533,10525.0,2020-06-09,2020-06-09T18:00:07+00:00
199,Africa,Mali,20208491.0,+39,561,0,931,78,1586,+2,5,94,172,3483.0,2020-06-09,2020-06-09T18:00:07+00:00
200,Africa,Guinea-Bissau,1964631.0,+21,1224,5,153,707,1389,,6,12,764,1500.0,2020-06-09,2020-06-09T18:00:07+00:00
201,North-America,British-Virgin-Islands,,,0,0,7,265,8,,,1,,167.0,2020-06-09,2020-06-09T18:00:07+00:00
202,North-America,Saint-Kitts-and-Nevis,53173.0,,0,0,15,282,15,,,0,7673,408.0,2020-06-09,2020-06-09T18:00:07+00:00
203,North-America,Anguilla,,,0,0,3,200,3,,,0,,41.0,2020-06-09,2020-06-09T18:00:07+00:00
204,,MS-Zaandam-,,+7,7,0,0,,9,+2,,2,,,2020-04-09,2020-04-09T15:45:06+00:00
205,,MS-Zaandam,,,7,0,0,,9,,,2,,,2020-06-09,2020-06-09T18:00:07+00:00
206,Africa,Botswana,2348277.0,+2,17,1,24,18,42,,0.4,1,11173,26238.0,2020-06-09,2020-06-09T18:00:07+00:00
207,Africa,Sierra-Leone,7965970.0,+24,354,0,621,129,1025,+1,6,50,,,2020-06-09,2020-06-09T18:00:07+00:00
208,Africa,Burundi,11861964.0,+20,37,0,45,7,83,,0.08,1,32,382.0,2020-06-09,2020-06-09T18:00:07+00:00
209,North-America,Caribbean-Netherlands,26203.0,,0,0,7,267,7,,,0,16181,424.0,2020-06-09,2020-06-09T18:00:07+00:00
210,Africa,Malawi,19093535.0,+5,384,4,55,23,443,,0.2,4,343,6542.0,2020-06-09,2020-06-09T18:00:07+00:00
211,South-America,Falkland-Islands,3473.0,,0,0,13,3743,13,,,0,154045,535.0,2020-06-09,2020-06-09T18:00:07+00:00
212,Africa,Western-Sahara,,,2,0,6,15,9,,,1,,,2020-06-09,2020-06-09T18:00:07+00:00
213,Africa,South-Sudan,11185064.0,+287,1570,0,15,143,1604,+5,2,19,300,3356.0,2020-06-09,2020-06-09T18:00:07+00:00
214,North-America,Saint-Pierre-Miquelon,,,0,0,1,173,1,,,0,,,2020-06-09,2020-06-09T18:00:07+00:00
215,Africa,Sao-Tome-and-Principe,218887.0,+1,426,0,76,2348,514,,55,12,5003,1095.0,2020-06-09,2020-06-09T18:00:07+00:00
216,North-America,North-America,,+12058,1229613,19421,948494,,2315394,+902,,137287,,,2020-06-09,2020-06-09T18:00:07+00:00
217,Europe,Europe,,+14358,839128,7082,1104935,,2124125,+702,,180062,,,2020-06-09,2020-06-09T18:00:07+00:00
218,Asia,Asia,,+31348,523612,15061,863943,,1423830,+636,,36275,,,2020-06-09,2020-06-09T18:00:07+00:00
219,South-America,South-America,,+12869,576931,11924,560325,,1189145,+562,,51889,,,2020-06-09,2020-06-09T18:00:07+00:00
220,Oceania,Oceania,,+2,445,2,8308,,8877,,,124,,,2020-06-09,2020-06-09T18:00:07+00:00
221,Africa,Africa,,+1402,106065,490,88901,,200392,+36,,5426,,,2020-06-09,2020-06-09T18:00:07+00:00
222,,Diamond-Princess,,,48,4,651,,712,,,13,,,2020-06-09,2020-06-09T18:00:07+00:00
223,Asia,Yemen,29778960.0,+12,361,0,23,17,496,,4,112,4,120.0,2020-06-09,2020-06-09T18:00:07+00:00
224,Asia,Tajikistan,9522852.0,+81,1827,0,2815,492,4690,,5,48,,,2020-06-09,2020-06-09T18:00:07+00:00
225,Africa,Comoros,868181.0,+9,72,0,67,162,141,,2,2,,,2020-06-09,2020-06-09T18:00:07+00:00
226,Africa,Lesotho,2140931.0,+2,2,0,2,2,4,,,0,708,1515.0,2020-06-09,2020-06-09T18:00:07+00:00
