ObservationDate,Country_Region,Province_State,Confirmed,Deaths,Recovered,Active
2020-05-25,MS Zaandam,NA,9,2,0,7
2020-05-26,Diamond Princess,NA,712,13,651,48
2020-05-26,Kosovo,NA,1038,30,791,217
2020-05-26,MS Zaandam,NA,9,2,0,7
2020-05-27,Diamond Princess,NA,712,13,651,48
2020-05-27,Kosovo,NA,1047,30,794,223
2020-05-27,MS Zaandam,NA,9,2,0,7
2020-05-28,Diamond Princess,NA,712,13,651,48
2020-05-28,Kosovo,NA,1048,30,801,217
2020-05-28,MS Zaandam,NA,9,2,0,7
2020-05-29,Diamond Princess,NA,712,13,651,48
2020-05-29,Kosovo,NA,1048,30,801,217
2020-05-29,MS Zaandam,NA,9,2,0,7
2020-05-30,Diamond Princess,NA,712,13,651,48
2020-05-30,Kosovo,NA,1064,30,829,205
2020-05-30,MS Zaandam,NA,9,2,0,7
2020-05-31,Diamond Princess,NA,712,13,651,48
2020-05-31,Kosovo,NA,1064,30,829,205
2020-05-31,MS Zaandam,NA,9,2,0,7
2020-06-01,Diamond Princess,NA,712,13,651,48
2020-06-01,Kosovo,NA,1064,30,829,205
2020-06-01,MS Zaandam,NA,9,2,0,7
2020-06-02,Diamond Princess,NA,712,13,651,48
2020-06-02,Kosovo,NA,1064,30,829,205
2020-06-02,MS Zaandam,NA,9,2,0,7
2020-06-03,Diamond Princess,NA,712,13,651,48
2020-06-03,Kosovo,NA,1142,30,871,241
2020-06-03,MS Zaandam,NA,9,2,0,7
2020-06-04,Diamond Princess,NA,712,13,651,48
2020-06-04,Kosovo,NA,1142,30,871,241
2020-06-04,MS Zaandam,NA,9,2,0,7
2020-06-05,Diamond Princess,NA,712,13,651,48
2020-06-05,Kosovo,NA,1142,30,871,241
2020-06-05,MS Zaandam,NA,9,2,0,7
2020-06-06,Diamond Princess,NA,712,13,651,48
2020-06-06,Kosovo,NA,1142,30,871,241
2020-06-06,MS Zaandam,NA,9,2,0,7
2020-06-07,Diamond Princess,NA,712,13,651,48
2020-06-07,Kosovo,NA,1142,30,871,241
2020-06-07,MS Zaandam,NA,9,2,0,7
2020-06-08,Diamond Princess,NA,712,13,651,48
2020-06-08,Kosovo,NA,1263,31,912,320
2020-06-08,MS Zaandam,NA,9,2,0,7
2020-06-09,Diamond Princess,NA,712,13,651,48
2020-06-09,Kosovo,NA,1263,31,912,320
2020-06-09,MS Zaandam,NA,9,2,0,7
